  instanceFile;      delaunay; delImprd; delLSFlips; bestTriang; bestTriangImprd; bestTriangFlips;  time; comment
./uniform_036_00.in; 1.269518; 1.269518;          0;   1.269518;        1.269518;               0;  3323; grasp
./uniform_036_01.in; 1.258758; 1.258758;          0;   1.258758;        1.258758;               0;  3256; grasp
./uniform_036_02.in; 1.274699; 1.265364;          1;   1.274699;        1.265364;               1;  3251; grasp
./uniform_036_03.in; 1.326362; 1.326362;          0;   1.326362;        1.326362;               0;  3229; grasp
./uniform_036_04.in; 1.268778; 1.268778;          0;   1.268778;        1.268778;               0;  2943; grasp
./uniform_036_05.in; 1.285715; 1.285715;          0;  13.461515;        1.278965;               6;  3186; grasp
./uniform_036_06.in; 1.307687; 1.307687;          0;   1.307687;        1.307687;               0;  3130; grasp
./uniform_036_07.in; 1.426565; 1.261194;          1;   1.426565;        1.261194;               1;  3339; grasp
./uniform_036_08.in; 1.352281; 1.289278;          3;   1.352281;        1.289278;               3;  3461; grasp
./uniform_036_09.in; 1.317168; 1.295692;          1;   1.317168;        1.295692;               1;  3073; grasp
./uniform_036_10.in; 1.357869; 1.357869;          0;   1.357869;        1.357869;               0;  3035; grasp
./uniform_036_11.in; 1.289515; 1.289515;          0;   1.289515;        1.289515;               0;  3308; grasp
./uniform_036_12.in; 1.332047; 1.332047;          0;   1.332047;        1.332047;               0;  3159; grasp
./uniform_036_13.in; 1.348263; 1.327743;          2;   2.060491;        1.326825;               4;  3196; grasp
./uniform_036_14.in; 1.314268; 1.314268;          0;   1.314268;        1.314268;               0;  3267; grasp
./uniform_036_15.in; 1.290661; 1.288618;          1;   1.290661;        1.288618;               1;  3197; grasp
./uniform_036_16.in; 1.318359; 1.318359;          0;   1.419006;        1.316868;               5;  3212; grasp
./uniform_036_17.in; 1.330737; 1.330737;          0;   1.330737;        1.330737;               0;  3206; grasp
./uniform_036_18.in; 1.299023; 1.299023;          0;   1.299023;        1.299023;               0;  3176; grasp
./uniform_036_19.in; 1.314195; 1.294167;          3;   2.034671;        1.294117;               8;  3387; grasp
./uniform_036_20.in; 1.305113; 1.305113;          0;   1.305113;        1.305113;               0;  3279; grasp
./uniform_036_21.in; 1.274594; 1.267048;          1;   1.274594;        1.267048;               1;  3190; grasp
./uniform_036_22.in; 1.253415; 1.253415;          0;   1.253415;        1.253415;               0;  2976; grasp
./uniform_036_23.in; 1.358845; 1.358845;          0;   1.358845;        1.358845;               0;  3179; grasp
./uniform_036_24.in; 1.296772; 1.296772;          0;   1.296772;        1.296772;               0;  3180; grasp
./uniform_036_25.in; 1.351336; 1.304193;          2;   1.351336;        1.304193;               2;  3120; grasp
./uniform_036_26.in; 1.307354; 1.307354;          0;   1.354810;        1.295984;               3;  3197; grasp
./uniform_036_27.in; 1.248232; 1.248232;          0;   1.248232;        1.248232;               0;  3142; grasp
./uniform_036_28.in; 1.326358; 1.326358;          0;   1.326358;        1.326358;               0;  3146; grasp
./uniform_036_29.in; 1.305115; 1.305115;          0;   1.305115;        1.305115;               0;  3315; grasp
./uniform_037_00.in; 1.257052; 1.257052;          0;   1.257052;        1.257052;               0;  3307; grasp
./uniform_037_01.in; 1.353046; 1.325210;          1;   1.353046;        1.325210;               1;  3281; grasp
./uniform_037_02.in; 1.315132; 1.280432;          1;   1.315132;        1.280432;               1;  4151; grasp
./uniform_037_03.in; 1.381419; 1.297733;          1;   1.381419;        1.297733;               1;  3189; grasp
./uniform_037_04.in; 1.309151; 1.299717;          2;   1.309151;        1.299717;               2;  3287; grasp
./uniform_037_05.in; 1.298494; 1.298494;          0;   1.298494;        1.298494;               0;  3582; grasp
./uniform_037_06.in; 1.336113; 1.336113;          0;   1.336113;        1.336113;               0;  3353; grasp
./uniform_037_07.in; 1.278690; 1.278690;          0;   1.278690;        1.278690;               0;  3234; grasp
./uniform_037_08.in; 1.305361; 1.296932;          2;   1.305361;        1.296932;               2;  3361; grasp
./uniform_037_09.in; 1.324594; 1.301102;          1;   1.324594;        1.301102;               1;  3427; grasp
./uniform_037_10.in; 1.356317; 1.257675;          1;   1.356317;        1.257675;               1;  3240; grasp
./uniform_037_11.in; 1.298937; 1.288083;          1;   1.534279;        1.284113;              11;  3377; grasp
./uniform_037_12.in; 1.301560; 1.274372;          3;   1.301560;        1.274372;               3;  3301; grasp
./uniform_037_13.in; 1.371275; 1.371275;          0;   1.423094;        1.347209;               1;  3183; grasp
./uniform_037_14.in; 1.291830; 1.291830;          0;   1.291830;        1.291830;               0;  3239; grasp
./uniform_037_15.in; 1.325548; 1.272755;          3;   1.325548;        1.272755;               3;  3433; grasp
./uniform_037_16.in; 1.319373; 1.308226;          1;   1.319373;        1.308226;               1;  3151; grasp
./uniform_037_17.in; 1.306273; 1.306273;          0;   1.306273;        1.306273;               0;  3551; grasp
./uniform_037_18.in; 1.268268; 1.268268;          0;   4.995768;        1.248153;               9;  3240; grasp
./uniform_037_19.in; 1.374863; 1.353745;          1;   1.374863;        1.353745;               1;  3224; grasp
./uniform_037_20.in; 1.334080; 1.307608;          3;   1.334080;        1.307608;               3;  3416; grasp
./uniform_037_21.in; 1.359615; 1.273735;          4;   1.359615;        1.273735;               4;  3467; grasp
./uniform_037_22.in; 1.293363; 1.293363;          0;   1.293363;        1.293363;               0;  3249; grasp
./uniform_037_23.in; 1.351364; 1.351364;          0;   1.351364;        1.351364;               0;  3271; grasp
./uniform_037_24.in; 1.322089; 1.288794;          2;   1.322089;        1.288794;               2;  3331; grasp
./uniform_037_25.in; 1.334332; 1.334332;          0;   1.334332;        1.334332;               0;  3298; grasp
./uniform_037_26.in; 1.297597; 1.297597;          0;   1.297597;        1.297597;               0;  3424; grasp
./uniform_037_27.in; 1.336585; 1.336585;          0;   1.336585;        1.336585;               0;  3277; grasp
./uniform_037_28.in; 1.272367; 1.272367;          0;   1.272367;        1.272367;               0;  3249; grasp
./uniform_037_29.in; 1.335534; 1.301688;          1;   1.332782;        1.270868;               4;  4486; grasp
./uniform_038_00.in; 1.319697; 1.296413;          2;   1.712303;        1.264998;               6;  3768; grasp
./uniform_038_01.in; 1.335919; 1.265621;          2;   1.335919;        1.265621;               2;  3740; grasp
./uniform_038_02.in; 1.313542; 1.313542;          0;   1.313542;        1.313542;               0;  3827; grasp
./uniform_038_03.in; 1.295622; 1.295622;          0;   1.635985;        1.236957;              13;  4082; grasp
./uniform_038_04.in; 1.335822; 1.302487;          2;   1.335822;        1.302487;               2;  3605; grasp
./uniform_038_05.in; 1.327566; 1.324764;          1;   1.327566;        1.324764;               1;  3890; grasp
./uniform_038_06.in; 1.403530; 1.346909;          1;   1.315361;        1.296969;               2;  3878; grasp
./uniform_038_07.in; 1.333673; 1.291524;          2;   1.333673;        1.291524;               2;  3872; grasp
./uniform_038_08.in; 1.270081; 1.270081;          0;   1.270081;        1.270081;               0;  3978; grasp
./uniform_038_09.in; 1.325797; 1.320983;          1;   1.325797;        1.320983;               1;  3891; grasp
./uniform_038_10.in; 1.363980; 1.279792;          1;   1.363980;        1.279792;               1;  3689; grasp
./uniform_038_11.in; 1.321008; 1.303622;          1;   1.321008;        1.303622;               1;  3705; grasp
./uniform_038_12.in; 1.293429; 1.263335;          1;   1.293429;        1.263335;               1;  4009; grasp
./uniform_038_13.in; 1.320271; 1.283938;          2;   1.320271;        1.283938;               2;  3807; grasp
./uniform_038_14.in; 1.283255; 1.283255;          0;   1.283255;        1.283255;               0;  3854; grasp
./uniform_038_15.in; 1.330970; 1.312215;          1;   1.330970;        1.312215;               1;  3589; grasp
./uniform_038_16.in; 1.265068; 1.263459;          1;   1.265068;        1.263459;               1;  3751; grasp
./uniform_038_17.in; 1.360376; 1.324139;          4;   1.360376;        1.324139;               4;  3909; grasp
./uniform_038_18.in; 1.261067; 1.261067;          0;   1.423036;        1.248629;               3;  3850; grasp
./uniform_038_19.in; 1.401185; 1.344526;          1;   1.401185;        1.344526;               1;  3726; grasp
./uniform_038_20.in; 1.331253; 1.324909;          1;   2.141797;        1.301397;              12;  3935; grasp
